,Name
-1,* Select a monster *
0,Aaliyah (Water Totemist)
1,Abellio (Water Druid)
2,Abigail (Water Cannon Girl)
3,Acasis (Wind Sylphid)
4,Adrian (Fire Elven Ranger)
5,Adriana (Water Pudding Princess)
6,Aegir (Water Barbaric King)
7,Aeilene (Wind Fairy)
8,Ahman (Light Bearman)
9,Akhamamir (Wind Ifrit)
10,Akia (Fire Succubus)
11,Akroma (Light Valkyrja)
12,Alexandra (Dark Unicorn)
13,Alice (Fire Macaron Guard)
14,Alicia (Water Polar Queen)
15,Allen (Water Vagabond)
16,Amarna (Light Anubis)
17,Amber (Water Battle Angel)
18,Amduat (Dark Horus)
19,Amelia (Water Unicorn)
20,Anavel (Water Occult Girl)
21,Anduril (Wind Inferno)
22,Angela (Wind Pudding Princess)
23,Anne (Fire Cow Girl)
24,Antares (Fire Lich)
25,Aqcus (Water Charger Shark)
26,Aquila (Wind Brownie Magician)
27,Arang (Wind Nine-tailed Fox)
28,Ardella (Wind Magical Archer)
29,Argen (Wind Vampire)
30,Aria (Light Succubus)
31,Ariana (Light Pudding Princess)
32,Ariel (Water Archangel)
33,Arkajan (Light Yeti)
34,Arnold (Fire Death Knight)
35,Artamiel (Light Archangel)
36,Aschubel (Dark Sylph)
37,Asima (Light Hell Lady)
38,Astar (Fire Magic Knight)
39,Atenai (Fire Undine)
40,Audrey (Light Macaron Guard)
41,Avaris (Water Anubis)
42,Baekdu (Light Beast Hunter)
43,Bael (Fire Demon)
44,Bagir (Water Giant Warrior)
45,Bailey (Light Boomerang Warrior)
46,Baleygr (Fire Lightning Emperor)
47,Barbara (Water Beast Rider)
48,Baretta (Fire Sylph)
49,Barque (Wind Pirate Captain)
50,Basalt (Dark Battle Mammoth)
51,Bastet (Water Desert Queen)
52,Beelzebub (Dark Demon)
53,Belial (Water Demon)
54,Belita (Dark Chakram Dancer)
55,Bella (Dark Cannon Girl)
56,Belladeon (Light Inugami)
57,Bellenus (Fire Druid)
58,Benedict (Light Weapon Master)
59,Berenice (Fire Blade Dancer)
60,Bering (Dark Kobold Bomber)
61,Bernadotte (Fire Shadow Claw)
62,Bernard (Wind Griffon)
63,Beth (Water Hell Lady)
64,Bethony (Dark Magical Archer)
65,Betta (Dark Mermaid)
66,Birman (Water Hypnomeow)
67,Bolverk (Water Lightning Emperor)
68,Bombay (Dark Hypnomeow)
69,Borgnine (Water Slayer)
70,Brandia (Fire Polar Queen)
71,Bremis (Fire Elemental)
72,Briand (Wind Death Knight)
73,Brig (Light Pirate Captain)
74,Bulldozer (Fire Frankenstein)
75,Burentau (Fire Minotauros)
76,CHUN-LI (Fire CHUN LI)
77,CHUN-LI (Water CHUN LI)
78,CHUN-LI (Wind CHUN LI)
79,CHUN-LI (Dark CHUN LI)
80,CHUN-LI (Light CHUN LI)
81,Cadiz (Dark Vampire)
82,Cahule (Fire Garuda)
83,Calicus (Dark Charger Shark)
84,Camaryn (Dark Pixie)
85,Camilla (Water Valkyrja)
86,Camules (Dark Elemental)
87,Carbine (Wind Sniper Mk. I)
88,Carcano (Fire Sniper Mk. I)
89,Carlos (Fire Weapon Master)
90,Carrack (Fire Pirate Captain)
91,Cassandra (Fire Magical Archer)
92,Cassie (Dark Cow Girl)
93,Cayde (Dark Poison Master)
94,Celia (Light Harp Magician)
95,Celine (Wind Rune Blacksmith)
96,Ceres (Fire Amazon)
97,Chacha And Friends (Dark Howl)
98,Chamie (Light Nine-tailed Fox)
99,Chamomile (Wind Black Tea Bunny)
100,Chandra (Water Beast Monk)
101,Charlotte (Wind Occult Girl)
102,Chasun (Wind Sky Dancer)
103,Cheongpung (Wind Art Master)
104,Cheryl (Light Pixie)
105,Chichi And Friends (Wind Howl)
106,Chilling (Water Jack-o??lantern)
107,Chiwu (Fire Pioneer)
108,Chloe (Fire Epikion Priest)
109,Chow (Water Dragon Knight)
110,Chris (Light Magical Archer)
111,Christina (Wind Cannon Girl)
112,Cichlid (Wind Mermaid)
113,Claire (Fire Battle Angel)
114,Clara (Fire Pierret)
115,Coco (Fire Mage)
116,Cogma (Fire Imp)
117,Colleen (Fire Harpu)
118,Conrad (Light Death Knight)
119,Copper (Wind Living Armor)
120,Cordelia (Wind Blade Dancer)
121,Covenant (Water Sniper Mk. I)
122,Craig (Light Slayer)
123,Craka (Dark Hell Lady)
124,Crane (Wind Frankenstein)
125,Crawler (Dark Frankenstein)
126,DHALSIM (Dark DHALSIM)
127,DHALSIM (Fire DHALSIM)
128,DHALSIM (Wind DHALSIM)
129,DHALSIM (Water DHALSIM)
130,DHALSIM (Light DHALSIM)
131,Dagora (Water Warbear)
132,Dagorr (Wind Bearman)
133,Daharenos (Water Elemental)
134,Daniel (Light Sky Surfer)
135,Daphnis (Fire Fairy King)
136,Darion (Light Vagabond)
137,Deborah (Dark Rune Blacksmith)
138,Decamaron (Dark Salamander)
139,Delphoi (Wind Undine)
140,Destiny (Dark Battle Angel)
141,Deva (Light Chakram Dancer)
142,Devinodon (Dark Lizardman)
143,Diana (Wind Unicorn)
144,Dias (Dark Death Knight)
145,Dominic (Wind Weapon Master)
146,Dona (Light Penguin Knight)
147,Dongbaek (Light String Master)
148,Dorothy (Light Mage)
149,Douglas (Fire Striker)
150,Douman (Dark Onmyouji)
151,Dova (Light Harg)
152,Dover (Light Kobold Bomber)
153,Draco (Fire Brownie Magician)
154,Dragunov (Dark Sniper Mk. I)
155,Driller (Light Frankenstein)
156,Drogan (Dark Inferno)
157,Duamutef (Fire Horus)
158,Dusky (Dark Jack-o??lantern)
159,Einheri (Light Giant Warrior)
160,Eintau (Wind Minotauros)
161,Eirgar (Dark Vampire Lord)
162,Eladriel (Wind Archangel)
163,Eleanor (Light Unicorn)
164,Elena (Dark Pudding Princess)
165,Elenoa (Light Polar Queen)
166,Ella (Light Totemist)
167,Ellena (Water High Elemental)
168,Ellin (Water Amazon)
169,Elpuria (Light Serpent)
170,Elsharion (Light Ifrit)
171,Elucia (Water Fairy)
172,Eludain (Light Inferno)
173,Eludia (Light Phoenix)
174,Eluin (Water Elven Ranger)
175,Emily (Light Cannon Girl)
176,Emma (Water Neostone Agent)
177,Eredas (Light Sylph)
178,Ermeda (Wind Serpent)
179,Erwin (Wind Elven Ranger)
180,Eshir (Light Werewolf)
181,Espresso Cookie (Water Espresso Cookie)
182,Espresso Cookie (Dark Espresso Cookie)
183,Espresso Cookie (Light Espresso Cookie)
184,Espresso Cookie (Fire Espresso Cookie)
185,Espresso Cookie (Wind Espresso Cookie)
186,Ethna (Wind Hell Lady)
187,Eva (Light Pierret)
188,Fairo (Fire Imp Champion)
189,Fami (Light Magical Archer)
190,Fao (Fire Serpent)
191,Fedora (Water Death Knight)
192,Fei (Dark Kung Fu Girl)
193,Felleria (Light Dryad)
194,Feng Yan (Wind Panda WarriorFeng)
195,Fermion (Dark Archangel)
196,Figaro (Light Joker)
197,Fran (Light Fairy Queen)
198,Fria (Fire Sylphid)
199,Frigate (Dark Pirate Captain)
200,Fuco (Wind Lich)
201,Fudge (Light Choco Knight)
202,Fuuki (Wind Onimusha)
203,Fynn (Water Imp)
204,Galleon (Water Pirate Captain)
205,Gamir (Wind Hellhound)
206,Ganache (Water Choco Knight)
207,Gangchun (Water Beast Hunter)
208,Ganymede (Wind Fairy King)
209,Garo (Fire Ninja)
210,Garoche (Fire Werewolf)
211,Garok (Dark Imp)
212,Geldnir (Light Lightning Emperor)
213,Gemini (Light Brownie Magician)
214,Geoffrey (Fire Viking)
215,Giana (Dark Oracle)
216,Gildong (Water Taoist)
217,Gin (Light Ninja)
218,Gina (Dark Mystic Witch)
219,Gingerbrave (Wind Gingerbrave)
220,Giou (Wind Onmyouji)
221,Giselle (Dark Macaron Guard)
222,Glinodon (Light Lizardman)
223,Gorgo (Dark Warbear)
224,Granite (Fire Battle Mammoth)
225,Grego (Dark Lich)
226,Grogen (Dark Dragon)
227,Groggo (Light Golem)
228,Grotau (Light Minotauros)
229,Gruda (Water Bearman)
230,Guillaume (Dark Phantom Thief)
231,Gunpyeong (Fire Taoist)
232,Gurkha (Dark Slayer)
233,Haegang (Water Art Master)
234,Haken (Dark Bearman)
235,Halphas (Light Lich)
236,Han (Dark Ninja)
237,Hannah (Wind Cow Girl)
238,Hannam (Dark Beast Hunter)
239,Hanwul (Light Art Master)
240,Harmonia (Fire Harp Magician)
241,Hathor (Wind Desert Queen)
242,Hekerson (Light Poison Master)
243,Helena (Fire Unicorn)
244,Hellea (Dark Harpy)
245,Hemos (Water Grim Reaper)
246,Herne (Water Dryad)
247,Herteit (Dark Lightning Emperor)
248,Hibiscus (Fire Black Tea Bunny)
249,Hina (Wind Amazon)
250,Hiro (Light Martial Artist)
251,Hiva (Wind Grim Reaper)
252,Hollyberry Cookie (Water Hollyberry Cookie)
253,Hollyberry Cookie (Dark Hollyberry Cookie)
254,Hollyberry Cookie (Light Hollyberry Cookie)
255,Hollyberry Cookie (Fire Hollyberry Cookie)
256,Hollyberry Cookie (Wind Hollyberry Cookie)
257,Homunculus (Wind Homunculus)
258,Homunculus (Fire Homunculus)
259,Homunculus (Water Homunculus)
260,Homunculus (Light Homunculus)
261,Homunculus (Dark Homunculus)
262,Hong Hua (Fire Kung Fu GirlHong)
263,Hongyeon (Fire String Master)
264,Hraesvelg (Wind Barbaric King)
265,Hrungnir (Dark Barbaric King)
266,Huan (Wind Drunken Master)
267,Huga (Water Viking)
268,Hwa (Fire Rakshasa)
269,Hwadam (Light Taoist)
270,Hwahee (Fire Sky Dancer)
271,Hyanes (Dark Dryad)
272,Icares (Dark Sylphid)
273,Icaru (Water Inugami)
274,Icasha (Light Undine)
275,Igmanodon (Fire Lizardman)
276,Ignicus (Fire Charger Shark)
277,Illianna (Light Neostone Agent)
278,Imesety (Wind Horus)
279,Iona (Light Epikion Priest)
280,Iris (Light Magic Knight)
281,Iron (Fire Living Armor)
282,Isabelle (Dark Assassin)
283,Isael (Dark Succubus)
284,Iselia (Fire Fairy)
285,Isillen (Dark Elven Ranger)
286,Isis (Light Desert Queen)
287,Iunu (Wind Anubis)
288,Izaria (Water Succubus)
289,Jaara (Dark Phoenix)
290,Jackie (Dark Martial Artist)
291,Jackson (Dark Sky Surfer)
292,Jade (Wind Macaron Guard)
293,Jager (Light Dragon Knight)
294,Jamie (Dark Bounty Hunter)
295,Jamire (Wind Dragon)
296,Janssen (Dark Viking)
297,Jansson (Light Viking)
298,Jarrett (Wind Poison Master)
299,Jasmine (Light Black Tea Bunny)
300,Jean (Fire Phantom Thief)
301,Jeanne (Light Paladin)
302,Jeogun (Fire Art Master)
303,John (Fire Sky Surfer)
304,Jojo (Fire Joker)
305,Josephine (Water Paladin)
306,Jubelle (Dark Vagabond)
307,Julianne (Light Vampire)
308,Julie (Water Pierret)
309,Julien (Wind Phantom Thief)
310,Jultan (Dark Werewolf)
311,Jumaline (Dark High Elemental)
312,Jun (Fire Samurai)
313,Juno (Fire Oracle)
314,KEN (Fire KEN)
315,Kabilla (Light Harpy)
316,Kacey (Water Pixie)
317,Kahli (Fire High Elemental)
318,Kahn (Water Griffon)
319,Kai'en (Fire Vagabond)
320,Kaimann (Water Salamander)
321,Kaito (Wind Samurai)
322,Kaki (Fire Onimusha)
323,Kamatau (Dark Minotauros)
324,Kamiya (Dark Nine-tailed Fox)
